date,epsActual,epsEstimate,hour,quarter,revenueActual,revenueEstimate,symbol,year
2026-03-30,-0.68,-0.6845,bmo,4,,0.0,BCAX,2025
2026-03-30,-0.11,-0.2856,bmo,4,,,SCNX,2025
2026-03-30,-0.42,-0.1275,amc,4,0.0,0.0,AEON,2025
2026-03-30,-0.24,-0.2838,amc,4,0.0,0.0,TERN,2025
2026-03-30,-0.2,-0.1904,amc,4,0.0,0.0,ATNM,2025
2026-03-30,-0.16,,amc,4,4950000.0,,CVV,2025
2026-03-30,,,,4,,,MLP,2025
2026-03-30,0.0,,amc,3,400000.0,,GAHC,2025
2026-03-30,,,amc,4,,,EMMA,2025
2026-03-30,,,amc,4,,,EXOZ,2025
2026-03-30,0.02,-0.0102,amc,4,580000.0,675240.0,OXBR,2025
2026-03-30,25.84,-1.6941,bmo,4,,0.0,VOR,2025
2026-03-30,,,,4,,,BKFG,2025
2026-03-30,,,,4,,,ESGH,2025
2026-03-30,,,,4,,,NBRI,2025
2026-03-30,-0.11,-0.0612,amc,4,14228000.0,20706000.0,SGMO,2025
2026-03-30,,,,4,,,KEN,2025
2026-03-30,,,,4,,,WHLT,2025
2026-03-30,2.11,-0.1122,amc,4,4488000.0,3493500.0,DFDV,2025
2026-03-30,-0.01,,amc,4,2330000.0,,CRVW,2025
2026-03-30,-0.2,-0.2652,amc,4,0.0,0.0,INMB,2025
2026-03-30,0.04,,amc,4,140000.0,,MTR,2025
2026-03-30,,,,4,,,KBLB,2025
2026-03-30,,,,4,,,IWSH,2025
2026-03-30,,,,4,,,PMTR,2025
2026-03-30,,,,4,,,TVAI,2025
2026-03-30,,,,4,,,GTEN,2025
2026-03-30,,,,4,,,SVVC,2025
2026-03-30,,,,4,,,QPRC,2025
2026-03-30,-0.32,-0.0561,amc,4,341000.0,510000.0,POET,2025
2026-03-30,,,,4,,,KCHV,2025
2026-03-30,-0.59,-0.3788,amc,4,822000.0,2032120.0,INV,2025
2026-03-30,,,,4,,,DRDB,2025
2026-03-30,,,,4,,,HRGN,2025
2026-03-30,-0.02,,amc,4,1220000.0,,LGL,2025
2026-03-30,,,,4,,,LVVR,2025
2026-03-30,-0.01,-0.0102,amc,4,1097000.0,877200.0,AURX,2025
2026-03-30,0.11,0.1263,amc,4,7032000.0,7485615.0,HQI,2025
2026-03-30,-0.35,-0.3321,bmo,4,0.0,0.0,NMRA,2025
2026-03-30,,,,4,,,BOTY,2025
2026-03-30,,,,4,,,ISCO,2025
2026-03-30,,-27.03,amc,4,,142800.0,HSDT,2025
2026-03-30,-0.66,-0.6273,bmo,4,3613000.0,3366000.0,ALUR,2025
2026-03-30,-0.2,-0.1938,amc,4,1022000.0,1122000.0,CXAI,2025
2026-03-30,,,,4,,,ELSE,2025
2026-03-30,,,,4,,,NXDT,2025
2026-03-30,,,,4,,,YTFD,2025
2026-03-30,-0.23,-0.0303,amc,4,26708000.0,29290000.0,BOC,2025
2026-03-30,,,,4,,,MCAP,2025
2026-03-30,,,,4,,,NOEM,2025
2026-03-30,,-2.04,amc,4,,,QUCY,2025
2026-03-30,,,,4,,,ASST,2025
2026-03-30,,,amc,4,,,GRTX,2025
2026-03-30,,-0.051,,4,,13515000.0,SATX,2025
2026-03-30,,,,4,,,AERG,2025
2026-03-30,,,,2,,,RCON,2026
2026-03-30,-0.08,-0.0816,amc,4,238000.0,428145.0,RNXT,2025
2026-03-30,,,,4,,,ASTI,2025
2026-03-30,,-0.0918,amc,4,,64770000.0,LVLU,2025
2026-03-30,-0.18,-0.0167,bmo,4,0.0,8421803.0,FRMI,2025
2026-03-30,,,,4,,,LWAC,2025
2026-03-30,,0.0306,,4,,27378330.0,RZLV,2025
2026-03-30,,,,4,,,NEWH,2025
